500 3814
10 376 0.498173
10 466 0.432746
11 26 0.631174
11 31 0.582619
11 37 0.489648
11 38 0.440232
11 39 0.576982
11 44 0.514356
11 55 0.366729
11 63 0.482867
11 68 0.609872
11 74 0.433436
11 75 0.563007
11 79 0.666211
11 107 0.380417
11 323 0.484361
11 382 0.465576
11 403 0.3547
12 14 0.692808
12 18 0.321057
12 29 0.544476
12 33 0.554014
12 34 0.405078
12 38 0.527044
12 41 0.429471
12 43 0.512418
12 81 0.41109
12 82 0.452202
12 115 0.653465
12 129 0.365221
12 139 0.426898
12 158 0.340302
12 342 0.611535
13 19 0.442974
13 21 0.413713
13 30 0.485729
13 42 0.421462
13 43 0.327607
13 51 0.421992
13 54 0.424784
13 65 0.487614
13 67 0.469399
13 73 0.512319
13 77 0.58443
13 78 0.65373
13 80 0.515172
13 86 0.412271
13 90 0.62429
13 92 0.621314
13 245 0.696604
13 344 0.420107
13 386 0.575019
14 24 0.663302
14 29 0.536778
14 48 0.554468
14 70 0.322742
14 72 0.684311
14 73 0.3102
14 77 0.306673
14 97 0.516691
14 349 0.601546
14 424 0.316627
14 436 0.67758
15 36 0.660674
15 55 0.405344
15 59 0.470454
15 61 0.676487
15 74 0.435908
15 86 0.673422
15 90 0.679139
15 96 0.446215
15 116 0.572465
15 155 0.482266
15 267 0.433224
16 25 0.333129
16 31 0.355021
16 41 0.662663
16 42 0.501551
16 50 0.567026
16 52 0.427004
16 69 0.497717
16 224 0.569333
16 430 0.397723
16 466 0.606044
17 36 0.357093
17 37 0.307466
17 57 0.542438
17 71 0.641238
17 81 0.346209
17 91 0.382973
17 189 0.36144
17 195 0.580801
17 253 0.55643
17 287 0.535075
17 383 0.406031
18 21 0.416449
18 23 0.30459
18 28 0.536979
18 39 0.604501
18 45 0.563354
18 47 0.396068
18 49 0.546658
18 57 0.51677
18 58 0.533044
18 88 0.409954
18 94 0.486021
18 159 0.491034
18 334 0.651505
18 422 0.591921
18 446 0.449332
18 489 0.504629
18 491 0.449482
19 25 0.319928
19 30 0.648167
19 56 0.365882
19 58 0.527183
19 68 0.347559
19 90 0.319503
19 91 0.593495
19 93 0.631023
19 155 0.468274
19 186 0.696689
19 262 0.664068
19 347 0.505423
19 420 0.35021
20 21 0.598641
20 24 0.597963
20 37 0.451856
20 41 0.68472
20 48 0.321751
20 59 0.333644
20 61 0.573345
20 63 0.363994
20 95 0.506045
20 138 0.580032
20 483 0.304203
21 24 0.522177
21 33 0.334143
21 36 0.342775
21 37 0.678642
21 50 0.30343
21 74 0.698633
21 89 0.635376
21 91 0.38744
21 96 0.320657
21 98 0.421981
21 158 0.467132
21 443 0.421528
22 33 0.573491
22 47 0.409656
22 48 0.54276
22 53 0.383697
22 68 0.563818
22 70 0.393721
22 81 0.364363
22 84 0.369257
22 99 0.49687
22 201 0.649038
22 234 0.38512
22 248 0.382305
22 411 0.379505
22 499 0.56654
23 27 0.534842
23 38 0.473611
23 39 0.398326
23 52 0.562635
23 61 0.395275
23 69 0.627751
23 71 0.46583
23 88 0.367482
23 96 0.321805
23 167 0.314305
23 190 0.665802
23 228 0.574874
23 264 0.377356
23 393 0.671964
23 466 0.593546
23 467 0.421856
23 470 0.33223
23 482 0.424546
24 26 0.388571
24 46 0.530372
24 48 0.461581
24 56 0.504928
24 64 0.440958
24 79 0.51975
24 83 0.481764
24 87 0.454914
24 117 0.30228
24 142 0.619924
24 313 0.652931
24 490 0.397275
25 35 0.670985
25 38 0.372898
25 48 0.686876
25 51 0.354679
25 53 0.592012
25 56 0.654489
25 62 0.352415
25 249 0.359641
26 36 0.511124
26 44 0.545692
26 63 0.546852
26 69 0.631689
26 76 0.562873
26 98 0.497312
26 109 0.458357
26 202 0.311775
26 489 0.678569
27 43 0.648807
27 51 0.370769
27 59 0.491738
27 85 0.359055
27 87 0.559816
27 93 0.600056
27 95 0.658973
27 96 0.420536
27 314 0.370272
27 402 0.522648
27 491 0.498262
28 48 0.306574
28 58 0.646118
28 61 0.458521
28 80 0.490215
28 96 0.600679
28 110 0.398013
28 141 0.627098
28 257 0.333737
28 281 0.694935
28 296 0.692551
28 298 0.492525
28 388 0.648713
28 417 0.528954
29 38 0.482402
29 39 0.638353
29 57 0.414034
29 61 0.500839
29 72 0.547623
29 84 0.682041
29 89 0.353884
29 98 0.449365
29 122 0.63592
29 181 0.50923
29 211 0.699039
29 292 0.597222
30 38 0.610459
30 57 0.603805
30 58 0.525388
30 63 0.42275
30 79 0.577495
30 90 0.39408
30 99 0.537123
30 191 0.511356
30 315 0.45475
30 368 0.490051
30 388 0.660068
31 34 0.454527
31 53 0.622647
31 55 0.602201
31 56 0.466921
31 72 0.443048
31 128 0.581845
31 146 0.654962
31 271 0.57797
31 328 0.592228
32 33 0.399323
32 43 0.378901
32 62 0.540168
32 69 0.414785
32 72 0.411152
32 73 0.599439
32 75 0.343671
32 81 0.630438
32 86 0.471574
32 95 0.356242
32 142 0.634778
32 344 0.59192
32 416 0.397211
32 496 0.36246
33 49 0.388636
33 51 0.599754
33 57 0.403887
33 81 0.436867
33 98 0.38026
33 199 0.385322
33 452 0.528694
33 456 0.501087
33 476 0.360677
34 38 0.399322
34 75 0.695967
34 76 0.303872
34 77 0.402408
34 89 0.667663
34 92 0.643472
34 369 0.698982
34 415 0.592908
34 480 0.35193
34 498 0.694843
35 45 0.503192
35 55 0.493419
35 61 0.468112
35 68 0.361011
35 74 0.674943
35 83 0.40731
35 85 0.541197
35 88 0.325951
35 89 0.413794
35 176 0.432022
35 423 0.469852
36 82 0.589776
36 85 0.570993
36 88 0.569365
36 105 0.332036
36 257 0.58379
36 332 0.641599
36 418 0.316824
36 432 0.518624
36 464 0.498204
37 40 0.579183
37 54 0.377543
37 62 0.553395
37 69 0.686557
37 70 0.337391
37 76 0.581256
37 77 0.432516
37 89 0.448943
37 97 0.557548
37 115 0.372615
37 134 0.493784
37 192 0.545227
37 221 0.580107
37 292 0.552294
37 329 0.609559
37 368 0.451219
37 462 0.344493
38 41 0.62712
38 49 0.407131
38 55 0.570875
38 60 0.425276
38 100 0.338052
38 145 0.374367
38 180 0.556211
38 202 0.43251
38 268 0.627392
38 300 0.69474
38 484 0.476563
39 53 0.395933
39 66 0.649274
39 79 0.436142
39 91 0.581334
39 187 0.642838
39 496 0.403398
40 49 0.306017
40 64 0.530545
40 66 0.390775
40 68 0.35383
40 80 0.566385
40 81 0.65936
40 83 0.618066
40 93 0.624116
40 94 0.596968
40 136 0.650823
40 195 0.687891
40 226 0.368069
40 240 0.376811
40 297 0.433241
40 298 0.500646
40 310 0.57014
40 416 0.303954
41 55 0.634129
41 71 0.344827
41 75 0.443613
41 82 0.68535
41 85 0.37745
41 86 0.532132
41 88 0.534664
41 114 0.333449
41 119 0.611291
41 201 0.411064
41 234 0.394905
41 327 0.498569
42 53 0.463877
42 63 0.330005
42 71 0.473928
42 79 0.398353
42 86 0.445711
42 90 0.65331
42 98 0.683731
42 185 0.345376
42 221 0.562933
42 269 0.583154
42 322 0.623976
42 355 0.584004
43 45 0.374629
43 51 0.316798
43 58 0.403487
43 59 0.45189
43 96 0.686326
43 97 0.659491
43 99 0.601599
43 234 0.692965
43 256 0.609365
43 321 0.537473
43 345 0.68725
43 411 0.591829
44 45 0.441232
44 46 0.56543
44 81 0.553945
44 82 0.695967
44 83 0.312263
44 96 0.657469
44 129 0.521794
44 161 0.350296
44 179 0.342516
44 222 0.492913
44 272 0.625496
44 392 0.682769
45 46 0.482071
45 50 0.530307
45 66 0.467301
45 73 0.683178
45 92 0.68744
45 94 0.507394
45 159 0.559728
45 292 0.565762
45 315 0.425872
45 352 0.683719
45 439 0.44239
46 53 0.353839
46 54 0.358634
46 93 0.67845
46 99 0.303744
46 149 0.344479
46 186 0.352195
46 231 0.485097
46 313 0.685076
47 63 0.559199
47 68 0.434132
47 74 0.343885
47 87 0.326098
47 97 0.570085
47 153 0.409845
47 269 0.418045
47 276 0.353145
47 367 0.679757
47 391 0.33079
47 405 0.545446
47 418 0.346687
47 445 0.52053
47 458 0.678912
48 74 0.357719
48 77 0.637681
48 78 0.445563
48 92 0.36934
48 270 0.645907
48 302 0.608653
48 324 0.415985
48 334 0.486435
48 374 0.385826
49 59 0.437125
49 70 0.555658
49 72 0.375617
49 85 0.407992
49 87 0.425481
49 97 0.342107
49 99 0.663404
49 102 0.47214
49 142 0.447819
49 177 0.325314
49 182 0.429457
49 297 0.539518
49 444 0.376042
50 55 0.685889
50 63 0.625394
50 67 0.353201
50 68 0.644911
50 70 0.30821
50 73 0.3315
50 76 0.54315
50 91 0.321854
50 92 0.396298
50 102 0.321034
50 210 0.334964
50 434 0.5381
50 480 0.476183
50 485 0.650298
51 57 0.380373
51 83 0.561623
51 99 0.443172
51 125 0.691151
51 197 0.331337
51 270 0.57907
51 358 0.493484
51 424 0.634774
52 58 0.565741
52 61 0.628442
52 72 0.653351
52 81 0.361812
52 93 0.559722
52 95 0.657175
52 132 0.562682
52 282 0.468802
52 432 0.507511
52 486 0.552068
53 64 0.693371
53 72 0.537686
53 92 0.48379
53 261 0.429298
53 286 0.534214
53 351 0.528819
53 354 0.644644
53 400 0.502451
53 440 0.538189
54 60 0.656519
54 70 0.563966
54 73 0.426438
54 74 0.453768
54 75 0.465157
54 87 0.420508
54 170 0.323143
54 235 0.576997
54 333 0.628044
54 338 0.434621
55 60 0.513539
55 67 0.582919
55 72 0.491839
55 85 0.663475
55 96 0.365429
55 140 0.481383
55 194 0.364708
55 437 0.401032
56 69 0.336283
56 76 0.478079
56 77 0.317471
56 85 0.372462
56 95 0.455864
56 158 0.611803
56 194 0.404276
56 302 0.680821
56 339 0.640344
56 391 0.485653
57 66 0.326873
57 71 0.627798
57 73 0.400058
57 78 0.439716
57 93 0.497091
57 391 0.544514
57 464 0.454575
57 484 0.693728
58 60 0.331201
58 65 0.403228
58 66 0.301147
58 83 0.488896
58 87 0.371174
58 168 0.310523
58 191 0.652882
58 257 0.388848
58 296 0.460607
58 426 0.585108
59 70 0.305276
59 72 0.417278
59 75 0.341017
59 76 0.655378
59 87 0.681041
59 109 0.339833
59 164 0.455872
59 258 0.55822
59 373 0.596023
59 485 0.369613
60 65 0.484567
60 66 0.621773
60 67 0.329027
60 77 0.605105
60 82 0.397278
60 86 0.470909
60 87 0.468134
60 98 0.385391
60 125 0.39903
60 127 0.544706
60 474 0.614181
61 62 0.35727
61 70 0.301295
61 85 0.583708
61 96 0.494093
61 123 0.41691
61 462 0.374567
61 464 0.694534
62 64 0.419838
62 78 0.487019
62 79 0.557754
62 93 0.500595
62 95 0.409411
62 116 0.663639
62 202 0.459688
62 260 0.405852
63 64 0.346713
63 71 0.668236
63 89 0.322371
63 153 0.697789
63 261 0.534609
63 269 0.650589
63 284 0.515379
64 84 0.54031
64 88 0.557404
64 90 0.339789
64 92 0.460623
64 162 0.405164
64 329 0.573186
64 351 0.546844
65 71 0.380361
65 78 0.312135
65 94 0.325098
65 96 0.534978
65 148 0.632164
65 198 0.456989
65 200 0.44739
65 477 0.548786
65 486 0.647005
66 108 0.675618
66 324 0.338709
66 393 0.579764
66 477 0.693577
67 74 0.607145
67 85 0.665147
67 87 0.486436
67 99 0.633921
67 244 0.565288
67 384 0.671755
67 428 0.649284
67 493 0.609597
68 72 0.656987
68 161 0.306131
68 277 0.579509
68 350 0.390307
68 356 0.405294
69 70 0.564765
69 73 0.363649
69 81 0.563877
69 85 0.395522
69 93 0.608079
69 96 0.606595
69 140 0.632383
69 357 0.588496
69 395 0.542467
69 430 0.429666
70 71 0.353138
70 87 0.347982
70 88 0.328675
70 95 0.515293
70 96 0.432355
70 112 0.470253
70 117 0.511269
70 141 0.458981
70 311 0.304438
70 347 0.452538
71 85 0.662933
71 92 0.686606
71 96 0.467019
71 122 0.44928
71 129 0.454502
71 229 0.629516
71 419 0.603318
72 73 0.305645
72 80 0.656591
72 84 0.543747
72 95 0.406647
72 96 0.399719
72 232 0.60716
72 234 0.602416
72 260 0.666999
72 462 0.449949
73 80 0.618912
73 107 0.330549
73 463 0.558055
73 483 0.633019
74 75 0.47737
74 86 0.470622
74 142 0.375642
74 149 0.31855
74 207 0.499928
74 219 0.674301
74 223 0.66168
74 259 0.302982
74 281 0.327399
74 438 0.656373
75 80 0.467449
75 84 0.37328
75 88 0.475377
75 91 0.657412
75 92 0.594526
75 136 0.441313
75 221 0.523639
75 255 0.516811
75 324 0.381988
75 325 0.423702
75 370 0.464026
76 83 0.603849
76 201 0.668958
76 279 0.544554
76 398 0.352225
77 79 0.63229
77 86 0.535083
77 93 0.419663
77 176 0.415659
77 205 0.484717
77 257 0.51246
77 493 0.314635
78 81 0.446806
78 93 0.454974
78 141 0.433284
78 179 0.410545
78 182 0.365351
78 251 0.344097
78 274 0.658681
78 341 0.337196
78 355 0.421081
79 178 0.474907
79 191 0.438268
79 226 0.347348
79 252 0.527422
79 443 0.643695
79 482 0.426411
80 96 0.450662
80 110 0.422094
80 124 0.474134
80 218 0.525494
80 225 0.379006
80 285 0.457124
80 318 0.397181
80 368 0.614736
81 84 0.539227
81 95 0.420652
81 289 0.688015
81 331 0.558985
81 488 0.455153
81 490 0.521046
82 85 0.416616
82 89 0.367673
82 90 0.408943
82 97 0.312124
82 118 0.475782
82 145 0.637476
82 314 0.458021
82 353 0.313305
82 406 0.393035
83 105 0.535173
83 192 0.674893
83 238 0.415254
83 259 0.685566
83 312 0.337941
83 454 0.313617
84 87 0.455326
84 92 0.699226
84 108 0.53399
84 189 0.585271
84 222 0.37581
84 292 0.570976
84 331 0.333156
84 343 0.678691
84 458 0.488131
84 497 0.386878
85 129 0.661451
85 148 0.69969
85 240 0.369718
85 274 0.377784
86 88 0.458973
86 183 0.602676
86 213 0.320574
86 334 0.52908
86 369 0.536669
86 426 0.367558
86 475 0.691934
86 492 0.434886
87 88 0.491796
87 92 0.418
87 95 0.693017
87 428 0.568133
88 97 0.591348
88 98 0.607035
88 104 0.553394
88 268 0.376113
88 284 0.624208
88 347 0.453938
88 443 0.670007
89 171 0.524298
89 240 0.359093
89 489 0.605067
90 91 0.445106
90 99 0.573796
90 204 0.514056
90 232 0.427645
90 308 0.424898
90 317 0.61411
90 318 0.531512
91 98 0.502228
91 144 0.386724
91 196 0.375199
91 247 0.511205
91 260 0.538253
91 272 0.578654
91 351 0.387421
91 422 0.592388
91 445 0.668679
92 212 0.527492
92 367 0.540629
93 222 0.350537
93 289 0.497242
93 329 0.571604
93 377 0.600749
93 444 0.358862
93 485 0.448439
94 101 0.672458
94 323 0.636967
94 370 0.595028
94 378 0.643821
94 414 0.420266
95 103 0.640775
95 227 0.521153
95 263 0.664908
95 325 0.598828
95 401 0.423803
97 181 0.414249
97 198 0.354338
97 216 0.69006
97 463 0.569302
98 258 0.581734
98 388 0.362395
98 454 0.345722
99 120 0.488124
99 188 0.616386
99 248 0.436522
99 305 0.303868
99 392 0.391352
99 460 0.690258
100 117 0.424027
100 122 0.604072
100 126 0.595582
100 129 0.395079
100 135 0.694147
100 136 0.340226
100 150 0.559652
100 177 0.54337
100 183 0.359316
100 185 0.53679
100 336 0.433665
100 353 0.595598
100 385 0.437117
100 452 0.371787
101 123 0.368325
101 124 0.647134
101 148 0.609445
101 157 0.411422
101 159 0.404765
101 164 0.646039
101 166 0.40993
101 266 0.313534
101 444 0.691286
101 455 0.310656
102 111 0.628167
102 112 0.485801
102 113 0.595926
102 118 0.478125
102 125 0.487422
102 126 0.413439
102 129 0.668227
102 135 0.455587
102 153 0.618256
102 155 0.522442
102 167 0.368751
102 496 0.462521
103 109 0.515317
103 114 0.417477
103 115 0.414098
103 142 0.510874
103 163 0.580186
103 164 0.573636
103 171 0.684199
103 175 0.672162
103 184 0.441897
103 196 0.626243
103 283 0.439725
103 303 0.467665
103 403 0.629124
103 413 0.428938
104 106 0.555294
104 126 0.586747
104 132 0.504452
104 145 0.5231
104 148 0.377014
104 172 0.407883
104 173 0.60916
104 205 0.311738
104 220 0.691514
104 246 0.327833
104 369 0.373338
104 404 0.453187
104 422 0.63681
104 428 0.351108
104 429 0.344325
105 112 0.55889
105 126 0.384473
105 141 0.634669
105 142 0.357369
105 145 0.389846
105 154 0.305312
105 165 0.6327
105 175 0.544809
105 182 0.65215
105 190 0.449843
105 193 0.488801
105 236 0.489457
105 332 0.389619
106 114 0.387622
106 136 0.378619
106 152 0.369365
106 156 0.509986
106 157 0.419304
106 190 0.510681
106 194 0.399788
106 205 0.567938
106 255 0.527405
106 338 0.652901
106 355 0.637086
106 482 0.491989
107 115 0.626623
107 125 0.646044
107 129 0.320062
107 130 0.524383
107 131 0.558746
107 135 0.479326
107 137 0.575545
107 141 0.570069
107 186 0.443886
107 192 0.31246
108 109 0.368576
108 114 0.322619
108 116 0.30208
108 121 0.47213
108 131 0.379155
108 134 0.3435
108 146 0.488102
108 150 0.65096
108 156 0.47654
108 162 0.395954
108 163 0.370723
108 176 0.504452
108 185 0.361273
108 190 0.531874
108 193 0.508094
108 322 0.316679
108 335 0.653965
108 353 0.410297
108 416 0.693011
108 452 0.488187
109 110 0.567406
109 112 0.403591
109 124 0.482509
109 127 0.491368
109 130 0.368706
109 133 0.441928
109 134 0.523508
109 149 0.431264
109 150 0.554749
109 154 0.306645
109 162 0.50433
109 256 0.32746
109 303 0.363025
109 312 0.554999
110 113 0.310383
110 117 0.39849
110 119 0.392457
110 120 0.672332
110 124 0.677891
110 148 0.424469
110 151 0.592415
110 152 0.337375
110 170 0.685884
110 175 0.608343
110 182 0.442848
110 200 0.534382
110 291 0.352479
110 398 0.407155
111 118 0.337997
111 148 0.622238
111 150 0.620275
111 155 0.576819
111 158 0.570656
111 160 0.594063
111 161 0.57635
111 164 0.433723
111 176 0.507972
111 181 0.557233
111 186 0.326669
111 199 0.429446
111 264 0.404982
111 361 0.538028
111 403 0.640357
112 118 0.524779
112 143 0.655143
112 153 0.649067
112 155 0.424547
112 161 0.580649
112 162 0.489393
112 178 0.454435
112 189 0.567005
112 196 0.675866
112 282 0.474039
112 439 0.436969
112 448 0.444285
112 451 0.313362
113 115 0.44099
113 120 0.381158
113 121 0.447428
113 123 0.466507
113 131 0.646267
113 164 0.439282
113 174 0.379437
113 188 0.50328
113 199 0.494935
113 259 0.409192
113 341 0.369227
113 369 0.610538
113 378 0.523825
113 451 0.499261
113 479 0.545663
114 119 0.338216
114 130 0.64902
114 131 0.343735
114 140 0.335906
114 144 0.583373
114 145 0.504913
114 171 0.442762
114 172 0.435855
114 194 0.504018
114 281 0.455277
114 299 0.346263
114 392 0.596979
115 118 0.425589
115 120 0.553348
115 122 0.639878
115 141 0.503874
115 149 0.498443
115 156 0.613104
115 177 0.623668
115 185 0.517894
115 188 0.48253
115 189 0.47182
115 198 0.637722
115 320 0.453599
115 367 0.387978
115 410 0.636083
115 438 0.346327
115 455 0.428496
116 124 0.563351
116 126 0.523507
116 134 0.305431
116 138 0.333729
116 149 0.3894
116 159 0.442381
116 161 0.626303
116 187 0.514278
116 191 0.668974
116 269 0.588696
116 493 0.694826
117 137 0.388386
117 158 0.367243
117 169 0.410327
117 171 0.534313
117 215 0.31884
117 264 0.407978
117 356 0.474146
117 363 0.490165
117 416 0.396015
117 499 0.438959
118 129 0.581872
118 130 0.309224
118 133 0.644531
118 137 0.334261
118 139 0.398997
118 155 0.415568
118 171 0.364704
118 184 0.637121
118 288 0.394196
118 410 0.685049
118 434 0.490805
118 454 0.461754
118 468 0.651041
119 148 0.472679
119 157 0.550432
119 174 0.528795
119 179 0.425872
119 180 0.597541
119 184 0.478289
119 185 0.352691
119 257 0.506585
119 289 0.610046
119 315 0.638939
119 327 0.480919
119 451 0.467639
120 132 0.356582
120 160 0.406163
120 173 0.547667
120 179 0.652133
120 183 0.380593
120 198 0.509502
120 288 0.514622
120 477 0.636795
121 125 0.662799
121 127 0.362007
121 141 0.535713
121 156 0.366301
121 189 0.406068
121 191 0.313908
121 223 0.440692
121 290 0.557242
121 363 0.327523
121 480 0.546083
122 128 0.60431
122 132 0.402984
122 134 0.450756
122 153 0.333051
122 171 0.464166
122 178 0.308718
122 184 0.378897
122 186 0.309594
122 385 0.566941
122 433 0.398
122 474 0.663396
123 128 0.6749
123 129 0.468906
123 133 0.389709
123 143 0.643534
123 145 0.385629
123 153 0.398299
123 156 0.529158
123 159 0.652704
123 167 0.305456
123 168 0.457258
123 176 0.617692
123 178 0.686113
123 195 0.630945
123 325 0.387072
124 128 0.627567
124 150 0.301897
124 185 0.556767
124 186 0.35947
124 193 0.344706
124 198 0.609537
124 206 0.393149
124 249 0.447223
124 457 0.367077
125 128 0.399673
125 138 0.593173
125 143 0.305534
125 164 0.619317
125 167 0.381721
125 179 0.657127
125 180 0.474983
125 316 0.601876
125 326 0.485371
125 405 0.605388
125 415 0.383216
125 423 0.699357
125 442 0.488628
126 147 0.527682
126 151 0.647848
126 162 0.52184
126 166 0.362472
126 169 0.499526
126 181 0.684321
126 186 0.460226
126 187 0.498033
126 340 0.58084
126 356 0.536458
126 464 0.620305
127 162 0.357409
127 163 0.522371
127 164 0.340365
127 168 0.616542
127 373 0.57416
127 384 0.329876
127 402 0.551037
127 406 0.570617
127 415 0.307309
128 141 0.525867
128 145 0.508124
128 155 0.334508
128 162 0.443438
128 164 0.474458
128 169 0.326162
128 170 0.324662
128 174 0.418393
128 268 0.598413
128 306 0.619436
128 313 0.393757
128 380 0.421787
129 130 0.532109
129 136 0.333998
129 181 0.323982
129 192 0.596063
129 194 0.632324
129 195 0.656565
130 138 0.541941
130 143 0.52139
130 152 0.320704
130 156 0.468732
130 166 0.376338
130 174 0.441848
130 184 0.469484
130 190 0.364088
130 290 0.588266
130 293 0.555643
130 496 0.466499
131 145 0.553744
131 148 0.472431
131 151 0.630869
131 154 0.624937
131 159 0.389869
131 191 0.446196
131 212 0.526977
131 353 0.485466
131 389 0.609818
132 139 0.3392
132 158 0.613733
132 189 0.345627
132 195 0.35749
132 269 0.499599
132 337 0.426967
132 350 0.621281
132 479 0.694681
133 134 0.546784
133 138 0.558139
133 143 0.654052
133 159 0.695912
133 166 0.352393
133 174 0.420891
133 178 0.68397
133 196 0.54635
133 273 0.379268
133 292 0.576779
133 330 0.684596
133 376 0.415508
133 384 0.481025
133 486 0.624402
133 498 0.423007
134 146 0.650893
134 158 0.527663
134 161 0.676067
134 162 0.500755
134 166 0.458332
134 181 0.440582
134 244 0.558059
134 316 0.509966
134 392 0.533143
134 425 0.347795
135 145 0.526246
135 147 0.553712
135 158 0.568937
135 173 0.517459
135 198 0.533612
135 242 0.680536
135 253 0.418442
135 292 0.348989
135 330 0.360616
135 377 0.337646
136 137 0.428114
136 144 0.63164
136 148 0.338916
136 152 0.44117
136 178 0.490288
136 182 0.616486
136 189 0.543481
136 197 0.328468
136 199 0.678273
136 315 0.494026
137 144 0.430193
137 145 0.490514
137 162 0.642178
137 167 0.665982
137 175 0.628531
137 197 0.640426
137 328 0.544541
137 351 0.693111
137 397 0.657161
137 402 0.35985
138 140 0.668885
138 149 0.361021
138 158 0.458158
138 171 0.40058
138 229 0.628794
138 440 0.306455
139 147 0.564225
139 155 0.68639
139 160 0.655651
139 162 0.324229
139 175 0.533563
139 254 0.604886
139 262 0.422574
139 292 0.527891
139 361 0.629627
140 146 0.304151
140 147 0.351568
140 163 0.402675
140 180 0.671758
140 181 0.364474
140 182 0.688859
140 188 0.457477
140 197 0.50378
140 198 0.429643
140 199 0.322057
140 236 0.653266
140 294 0.348655
140 389 0.47942
141 148 0.676762
141 175 0.605209
141 190 0.371089
141 234 0.434888
141 265 0.367483
141 409 0.429352
141 413 0.566431
141 453 0.419857
141 471 0.515435
142 157 0.621892
142 161 0.54457
142 162 0.607863
142 164 0.519215
142 168 0.446324
142 170 0.63636
142 340 0.450362
142 385 0.517784
142 469 0.465892
143 148 0.60606
143 150 0.489372
143 161 0.339776
143 164 0.318585
143 177 0.521484
143 237 0.58271
143 336 0.364852
143 410 0.323997
143 448 0.617124
143 477 0.476147
144 164 0.546621
144 176 0.630603
144 178 0.443728
144 193 0.39588
144 195 0.454028
144 250 0.602332
144 359 0.330987
144 449 0.323352
145 157 0.591193
145 163 0.309599
145 164 0.428687
145 470 0.439815
145 494 0.666796
146 152 0.686802
146 168 0.392101
146 181 0.493592
146 185 0.681101
146 194 0.405952
146 195 0.37878
146 196 0.339579
146 373 0.313214
146 413 0.486475
147 149 0.689959
147 158 0.651378
147 172 0.390088
147 174 0.62517
147 176 0.397721
147 196 0.301556
147 304 0.56859
147 319 0.453891
148 159 0.428983
148 174 0.586582
148 178 0.310207
148 189 0.376209
148 305 0.345983
148 427 0.359058
149 150 0.326237
149 164 0.34761
149 166 0.454917
149 177 0.553368
149 190 0.563173
149 197 0.680244
149 200 0.466092
149 281 0.408936
149 393 0.51219
149 431 0.683983
150 161 0.653129
